context,question,answer_text,answer_start,all_answers
an artifact (or system of artifacts) that is instrumental in accomplishing some end,hypernym,artifact,3,"['artifact', 'artifacts']"
cabinet that holds medicines and toiletries,hypernym,cabinet,0,['cabinet']
the actual state of affairs,hypernym,state of affairs,11,"['state of affairs', 'state']"
a city in northern Algeria at the foot of the Atlas Mountains to the southwest of Algiers,hypernym,Algeria,19,"['Algeria', 'city']"
native grape of northeastern United States; origin of many cultivated varieties e.g. Concord grapes,hypernym,grape,7,"['grape', 'grapes']"
an Italian city in Trentino-Alto Adige near the Austrian border; noted as a resort and for its Alpine scenery,hypernym,city,11,['city']
an associate in an activity or endeavor or sphere of common interest,hypernym,associate,3,['associate']
a unit of measurement for viscosity,hypernym,unit,2,"['unit', 'unit of measurement']"
an industrial region in the Ukraine,hypernym,Ukraine,28,"['Ukraine', 'region']"
a strong-smelling plant from whose dried leaves a number of euphoriant and hallucinogenic drugs are prepared,hypernym,plant,18,['plant']
an opaque adjustable flap on a lamp fixture; used in photography to cut off light from particular areas,hypernym,flap,21,['flap']
the meaning of a content word that depends on the nonlinguistic concepts it is used to express,hypernym,meaning,4,"['meaning', 'content word', 'content', 'word']"
a room with several showers,hypernym,room,2,['room']
